ROUTE,LATITUDE,LONGITUDE
I 80,41.37409125,-110.2473957
I 80,41.3743198,-110.2462448
I 80,41.3745737,-110.2451173
I 80,41.37483295,-110.2440668
I 80,41.3751003,-110.2430659
I 80,41.375386,-110.2420854
I 80,41.375782,-110.2408328
I 80,41.37608395,-110.2399365
I 80,41.37646815,-110.2388806
I 80,41.3768898,-110.2378076
I 80,41.37721185,-110.2370297
I 80,41.37755335,-110.236248
I 80,41.37792915,-110.2354349
I 80,41.37833365,-110.2346008
I 80,41.3790582,-110.2331963
I 80,41.3817223,-110.2281237
I 80,41.38221875,-110.2271263
I 80,41.38265685,-110.2261904
I 80,41.383005,-110.2254023
I 80,41.38332595,-110.2246381
I 80,41.38362985,-110.223881
I 80,41.38391555,-110.2231325
I 80,41.384164,-110.2224453
I 80,41.38444125,-110.2216385
I 80,41.384643,-110.2210248
I 80,41.38488755,-110.2202348
I 80,41.3852139,-110.2191159
I 80,41.3854505,-110.2182298
I 80,41.38574675,-110.2169887
I 80,41.38576055,-110.2169309
I 80,41.3860795,-110.2155188
I 80,41.3886356,-110.2027439
I 80,41.38939395,-110.1989813
I 80,41.3907505,-110.1921689
I 80,41.39087192,-110.191577
I 80,41.39179282,-110.1877343
I 80,41.39193935,-110.1872123
I 80,41.3922645,-110.1861364
I 80,41.3925491,-110.1852749
I 80,41.39271196,-110.1848075
I 80,41.392714,-110.1848017
I 80,41.39293805,-110.1841587
I 80,41.39334445,-110.183075
I 80,41.39367565,-110.182242
I 80,41.3940066,-110.1814573
I 80,41.3943611,-110.1806551
I 80,41.3947187,-110.1798851
I 80,41.39517445,-110.1789632
I 80,41.4053363,-110.1592065
I 80,41.4059226,-110.1580463
I 80,41.4063085,-110.1572451
I 80,41.4066359,-110.1565274
I 80,41.4070095,-110.1556703
I 80,41.4073478,-110.1548529
I 80,41.4076683,-110.1540422
I 80,41.4079286,-110.1533478
I 80,41.4081636,-110.1526902
I 80,41.4084961,-110.1517117
I 80,41.4085672,-110.1515223
I 80,41.40857445,-110.1514853
I 80,41.4085905,-110.1514541
I 80,41.4086521,-110.1512595
I 80,41.4086681,-110.1512282
I 80,41.4087634,-110.1509323
I 80,41.4087775,-110.1509049
I 80,41.40878455,-110.1508691
I 80,41.40897525,-110.1503333
I 80,41.4089817,-110.1503011
I 80,41.409065,-110.1500801
I 80,41.40907235,-110.1500433
I 80,41.40908895,-110.1500128
I 80,41.4093018,-110.1493997
I 80,41.4093403,-110.1493077
I 80,41.4093481,-110.1492671
I 80,41.40938295,-110.1491694
I 80,41.4094006,-110.1491385
I 80,41.40940775,-110.1491017
I 80,41.40962865,-110.1485129
I 80,41.40964645,-110.1484463
I 80,41.4096645,-110.148416
I 80,41.40976525,-110.1481341
I 80,41.41002725,-110.1474525
I 80,41.41003335,-110.1474202
I 80,41.4100624,-110.1473611
I 80,41.4100693,-110.147325
I 80,41.41010065,-110.1472549
I 80,41.4101072,-110.1472212
I 80,41.41016516,-110.1470864
I 80,41.4101727,-110.1470484
I 80,41.4101909,-110.14702
I 80,41.4102139,-110.1469596
I 80,41.41023526,-110.1468846
I 80,41.41025126,-110.1468599
I 80,41.41031511,-110.1466996
I 80,41.41033251,-110.1466383
I 80,41.41041881,-110.1464327
I 80,41.41042516,-110.1464016
I 80,41.41044381,-110.1463737
I 80,41.41045106,-110.1463381
I 80,41.41049241,-110.1462539
I 80,41.41052941,-110.1461602
I 80,41.41053591,-110.1461281
I 80,41.41062606,-110.1459177
I 80,41.41066241,-110.1458293
I 80,41.41068326,-110.1457604
I 80,41.41072546,-110.1456766
I 80,41.41083826,-110.1453955
I 80,41.41084601,-110.1453599
I 80,41.41086911,-110.1453149
I 80,41.41088781,-110.1452542
I 80,41.41090701,-110.145227
I 80,41.41091536,-110.1451903
I 80,41.41094596,-110.1451345
I 80,41.41097171,-110.1450525
I 80,41.41106351,-110.144856
I 80,41.41108761,-110.144778
I 80,41.41110716,-110.1447511
I 80,41.41111626,-110.1447146
I 80,41.41113586,-110.1446877
I 80,41.41117471,-110.1445784
I 80,41.41126786,-110.1443866
I 80,41.41129591,-110.144306
I 80,41.41134396,-110.1442186
I 80,41.41135381,-110.1441825
I 80,41.41137806,-110.1441414
I 80,41.41142221,-110.1440308
I 80,41.41145831,-110.1439694
I 80,41.41149236,-110.1438755
I 80,41.41154456,-110.1437848
I 80,41.41158881,-110.1436757
I 80,41.41180956,-110.1432407
I 80,41.41182567,-110.1431924
I 80,41.41192842,-110.1430035
I 80,41.41197447,-110.1429001
I 80,41.41201107,-110.1428443
I 80,41.41209822,-110.1426643
I 80,41.41215997,-110.1425592
I 80,41.41217732,-110.142513
I 80,41.41223882,-110.1424104
I 80,41.41228017,-110.142318
I 80,41.41264457,-110.1416819
I 80,41.41287507,-110.1413066
I 80,41.41289537,-110.1412618
I 80,41.41301158,-110.141086
I 80,41.41304828,-110.1410167
I 80,41.41345748,-110.1403877
I 80,41.41388233,-110.1397591
I 80,41.41431198,-110.1391579
I 80,41.41475849,-110.138558
I 80,41.41519419,-110.1380004
I 80,41.41566529,-110.1374256
I 80,41.41626969,-110.1367278
I 80,41.41670334,-110.1362545
I 80,41.41724884,-110.1356853
I 80,41.41776114,-110.1351795
I 80,41.41842484,-110.1345607
I 80,41.41874974,-110.1342732
I 80,41.41885719,-110.1341869
I 80,41.41896624,-110.1340843
I 80,41.41903374,-110.1340356
I 80,41.41913859,-110.1339368
I 80,41.41929649,-110.1338113
I 80,41.41932814,-110.1337737
I 80,41.41936694,-110.1337505
I 80,41.41938774,-110.1337256
I 80,41.41948284,-110.1336527
I 80,41.41951449,-110.1336142
I 80,41.41956849,-110.1335782
I 80,41.41968104,-110.1334746
I 80,41.41970374,-110.1334619
I 80,41.41972424,-110.1334367
I 80,41.41981884,-110.133365
I 80,41.41984979,-110.1333265
I 80,41.41998284,-110.1332191
I 80,41.42002299,-110.1331744
